NAME,TYPE,UNIT,ADDR,RAW_ZERO,RAW_FULL,ENG_ZERO,ENG_FULL,ENG_UNITS,FORMAT,COMMENT,CLUSTER,EQUIP,ITEM,TAGGENLINK,LINKED,EDITCODE,HISTORIAN,CUSTOM1,CUSTOM2,CUSTOM3,CUSTOM4,CUSTOM5,CUSTOM6,CUSTOM7,CUSTOM8,WRITEROLES,GUID,CUSTOM,DEADBAND,OID,REF1,REF2
"LW_Sub1_Cisco_402N2_Status_P5","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/15","","","","","","","Cisco - N2 - Ethernet Port 5 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","c7585ff4-30fe-47b2-49a5-27e9fb559284","","","0x0012d970","",""
"LW_Sub1_Cisco_402N2_Status_P6","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/16","","","","","","","Cisco - N2 - Ethernet Port 6 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","aeea16c5-b278-43c1-6a90-007c7b855925","","","0x0012d980","",""
"LW_Sub1_Cisco_402N2_Status_P7","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/17","","","","","","","Cisco - N2 - Ethernet Port 7 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","c0d94fa1-f999-493d-ff82-76df8527cf28","","","0x0012d990","",""
"LW_Sub1_Cisco_402N2_Status_P8","DIGITAL","LW_Sub1_CLX","AQLW_SS01_402N1:I1.Data[1]/18","","","","","","","Cisco - N2 - Ethernet Port 8 Status","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","Cisco","","","","","","","","1b2ea8f9-8dbb-4644-54b9-41c9c0fdbe6e","","","0x0012d9a0","",""
"LW_Sub1_Comms_Face_DCB_01_RST_c","DIGITAL","LW_Sub1_CLX","LW_SS01_Comms.Face_DCB_01.RST_c","","","","","","","DCB 1 Comms Counters Reset","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","","Alm_Event","","","","","","","168938b3-cd1a-4760-f8a4-b551d0c5de28","","","0x0012ceb0","",""
"LW_Sub1_Comms_Face_DCB_02_RST_c","DIGITAL","LW_Sub1_CLX","LW_SS01_Comms.Face_DCB_02.RST_c","","","","","","","DCB 2 Comms Counters Reset","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","","Alm_Event","","","","","","","d22d4cb3-1a9f-4c20-68a2-6d2e3e10222e","","","0x0012cec0","",""
"LW_Sub1_Comms_Pump_DCB_01_COM_t","DIGITAL","LW_Sub1_CLX","LW_SS01_Comms.Pump_DCB_01.COM_t","","","","","","","Pump 1 Communications Failed","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","","","","","","","","","56933eb3-cc21-45b9-d3aa-4e9943a40548","","","0x0012ced0","",""
"LW_Sub1_Comms_Pump_DCB_01_RST_c","DIGITAL","LW_Sub1_CLX","LW_SS01_Comms.Pump_DCB_01.RST_c","","","","","","","Pump 1 Comms Counters Reset","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","","Alm_Event","","","","","","","452d477e-b9ae-4ad1-98a8-1e72656d01be","","","0x0012cee0","",""
"LW_Sub1_Comms_Pump_DCB_02_RST_c","DIGITAL","LW_Sub1_CLX","LW_SS01_Comms.Pump_DCB_02.RST_c","","","","","","","Pump 2 Comms Counters Reset","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","","Alm_Event","","","","","","","cd921b23-ae57-4ee1-6f9b-fe16d915575f","","","0x0012cef0","",""
"LW_Sub1_Comp_HT_Busway_Temp_ChFlt_T","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.HT_BUSWAY.Offscale","","","","","","","HT Busway Compartment Temperature - Channel Fault","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","HT Busway Compartment Temperature","Alm_Trip","","","","","","","aeb2b8c5-037a-403c-7e82-755c2ea916af","","","0x0012d2a0","",""
"LW_Sub1_Comp_HT_Busway_Temp_H_SP","REAL","LW_Sub1_CLX","LW_SS01_Comp.HT_BUSWAY.HighSP","0.0","100.0","0.0","100.0","^0xb0C","#EU","HT Busway Compartment Temperature - High level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","HT Busway Compartment Temperature","","600","","","","","","06515cbe-786e-4eca-6a80-c809d3f6462f","","","0x0012d282","",""
"LW_Sub1_Comp_HT_Busway_Temp_H_W","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.HT_BUSWAY.HighAlarm","","","","","","","HT Busway Compartment Temperature - High Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","HT Busway Compartment Temperature","Alm_Warning","","","","","","","6796c705-46ad-4482-858c-068d977990e5","","","0x0012d2c0","",""
"LW_Sub1_Comp_HT_Busway_Temp_HH_SP","REAL","LW_Sub1_CLX","LW_SS01_Comp.HT_BUSWAY.HighHighSP","0.0","100.0","0.0","100.0","^0xb0C","#EU","HT Busway Compartment Temperature - High High Level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","HT Busway Compartment Temperature","","600","","","","","","279afc76-86e5-4aff-b3a6-23cde6aefc04","","","0x0012d281","",""
"LW_Sub1_Comp_HT_Busway_Temp_HH_T","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.HT_BUSWAY.HighHighAlarm","","","","","","","HT Busway Compartment Temperature - High High Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","HT Busway Compartment Temperature","Alm_Trip","","","","","","","b0d21e5e-8cc3-473f-efb7-36e58793a75f","","","0x0012d2b0","",""
"LW_Sub1_Comp_HT_Busway_Temp_L_SP","REAL","LW_Sub1_CLX","LW_SS01_Comp.HT_BUSWAY.LowSP","0.0","100.0","0.0","100.0","^0xb0C","#EU","HT Busway Compartment Temperature - Low Level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","HT Busway Compartment Temperature","","600","","","","","","1e055922-1d27-4a24-e7a8-c695508d81ff","","","0x0012d283","",""
"LW_Sub1_Comp_HT_Busway_Temp_L_W","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.HT_BUSWAY.LowAlarm","","","","","","","HT Busway Compartment Temperature - Low Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","HT Busway Compartment Temperature","Alm_Warning","","","","","","","6cb2eb3d-b8ba-43a0-7fa1-43cbaf41ced2","","","0x0012d2d0","",""
"LW_Sub1_Comp_HT_Busway_Temp_LL_SP","REAL","LW_Sub1_CLX","LW_SS01_Comp.HT_BUSWAY.LowLowSP","0.0","100.0","0.0","100.0","^0xb0C","#EU","HT Busway Compartment Temperature - Low Low Level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","HT Busway Compartment Temperature","","600","","","","","","82f52722-719f-4997-3aa7-025d82979bfd","","","0x0012d284","",""
"LW_Sub1_Comp_HT_Busway_Temp_LL_T","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.HT_BUSWAY.LowLowAlarm","","","","","","","HT Busway Compartment Temperature - Low Low Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","HT Busway Compartment Temperature","Alm_Trip","","","","","","","751c0fbe-31df-4e3f-a09a-22dfe6ee98bb","","","0x0012d2e0","",""
